Stage,Nome,Squad,Tipo,Tasks,Output Principal,Checkpoint/Gate,Critérios de Validação,Se Aprovado,Se Rejeitado
1,Briefing & Onboarding,Atendimento,processo,"run-unniko-session, collect-briefing, analyze-client, organize-assets, validate-checkpoint",Briefing BranDesire,Checkpoint,"Todos 16 campos preenchidos, Respostas lapidadas, Assets organizados",Search & Insights,Briefing Collector
2,Pesquisa & Dados,Search & Insights,processo,"mine-market-data, extract-nielsen-data, extract-lca-data, analyze-trends, consult-euromonitor, consult-mintel, consult-wgsn, synthesize-insights",Insights Document,Checkpoint,"Dados de mercado coletados, Tendências identificadas, Insights acionáveis",DEENEA,Data Collection
3,Posicionamento Estratégico,DEENEA,processo,"build-ikigai, define-purpose-mission, map-audience, define-values-culture, map-archetypes, build-positioning, validate-positioning",Brand Strategy Document,Checkpoint,"Propósito autêntico, Personas bem definidas, Arquétipos consistentes, Posicionamento único",CBO Gate 1,Purpose Architect
4,CBO Gate - Estratégia,CBO,cbo_gate,validate-strategy,Aprovação ou Feedback,CBO Gate 1,"Propósito claro e inspirador, Posicionamento diferenciado, Arquétipos consistentes com valores, Personas bem definidas",UNNIKO,DEENEA (com feedback)
5,Diferenciação & Design System,UNNIKO,processo,"analyze-competitive-gaps, design-promise, define-differentiators, build-design-system, create-brand-concept, define-sensory-artifacts, compile-identity",Brand Identity Document,Checkpoint,"Promessa cumprível, Diferenciais tangíveis, Design System coerente, Identidade memorável",CBO Gate 2,Competitive Analyst
6,CBO Gate - Identidade,CBO,cbo_gate,validate-identity,Aprovação ou Feedback,CBO Gate 2,"Promessa cumprível, Diferenciais tangíveis, Design System coerente, Identidade memorável",storYOURtelling,UNNIKO (com feedback)
7,Criação & Narrativa,storYOURtelling,processo,"develop-big-idea, select-big-idea, create-core-concept, define-tone-of-voice, map-emotions, select-storytelling-framework, design-narrative, write-copy, direct-visual, compile-creative-brief",Creative Brief,Checkpoint,"Big Idea simples e memorável, Narrativa conecta mentes e corações, Tom de voz consistente, Execução premiável",CBO Gate 3,Big Idea Architect
8,CBO Gate - Criativo,CBO,cbo_gate,validate-creative,Aprovação ou Feedback,CBO Gate 3,"Big Idea poderosa, Narrativa emocional, Tom de voz consistente, Execução de qualidade",Operations,storYOURtelling (com feedback)
9,Operações (Paralelo),Content Ops + Growth Ops,processo_paralelo,"Content: define-platform-strategy, plan-content-calendar, produce-copy-content, create-visual-content, repurpose-content, review-content-quality, schedule-posts, analyze-content-performance | Growth: design-funnel, setup-campaigns, manage-traffic, run-ab-tests, optimize-campaigns, analyze-metrics, generate-insights, report-to-director","Content Plan, Growth Plan",Checkpoint,Entregáveis prontos para revisão final,CBO Gate 4,Squad específica
10,CBO Gate - Entrega Final,CBO,cbo_gate,approve-delivery,Aprovação Final,CBO Gate 4,"Alinhamento estratégico total, Qualidade de execução, Consistência entre peças, Pronto para cliente",ENTREGA AO CLIENTE,Revisão específica
final,Entrega ao Cliente,,delivery,,"Brand Strategy Doc, Brand Identity Doc, Creative Brief, Content Plan, Growth Plan",Entrega,Cliente satisfeito,-,-
